Месяц	Тип	Текст события	Ответ 1 (Успех)	О1 Деньги	О1 Дружба	О1 Знания	Ответ 2 (Провал)	О2 Деньги	О2 Дружба	О2 Знания	Это проверка?	Стат	Порог
Сентябрь	1	На пересдаче лабы препод заметил, что у вас с другом одинаковый код, и пообещал аннулировать обе работы.	Взять вину на себя	0	20	-15	Свалить всё на друга	0	-25	10	FALSE	None	0
Сентябрь	1	Вы проспали утреннюю пару по матану в ГЗ. Автобус уехал, на улице ливень.	Взять такси по х3 тарифу	-1500	0	10	Остаться спать в общаге	0	5	-15	FALSE	None	0
Сентябрь	1	В общаге завелись тараканы. Комендант требует, чтобы вся комната скинулась на дезинфекцию и подготовила помещение.	Скинуться и делать уборку	-1000	10	-5	Отказаться и уйти к друзьям	0	-20	0	FALSE	None	0
Сентябрь	1	Вы случайно залили клавиатуру ноутбука чаем прямо во время написания кода. Копки залипают.	Сдать в срочный ремонт	-4000	0	5	Мучиться и писать медленнее	0	0	-10	FALSE	None	0
Октябрь	1	Группа массово решила прогулять скучную лекцию по экономике. Староста просит вас поддержать бойкот, но препод отмечает по списку.	Прогулять со всеми	0	15	-15	Пойти на лекцию одному	0	-20	15	FALSE	None	0
Октябрь	1	Из-за невнимательности в Git вы сделали git push --force в общую ветку и затерли вчерашнюю работу напарника.	Ночью восстанавливать код	0	10	-15	Извиниться и лечь спать	0	-20	0	FALSE	None	0
Октябрь	1	На тренировке в спорткомплексе Бауманки вы сильно потянули спину. Нужны мази и обследование.	Купить дорогие лекарства	-3000	0	0	Терпеть боль на парах	0	0	-10	FALSE	None	0
Октябрь	1	Вы забыли продлить льготный проездной, и контролеры в метро выписали вам крупный штраф.	Оплатить штраф сразу	-2500	0	0	Просить взаймы у группы	-1000	-10	0	FALSE	None	0
Ноябрь	1	Деканат обнаружил, что у вас куча пропусков по физкультуре. Грозит недопуск к зачетам.	Отрабатывать в выходные	0	-15	-10	Договориться через презент	-3000	0	0	FALSE	None	0
Ноябрь	1	Вы жестко завалили РК2 по дискретной математике. Преподаватель требует пересдачу в жесткой форме.	Нанять репетитора-старшака	-3000	0	20	Зубрить самому без сна	0	-10	10	FALSE	None	0
